43108917			,27-APR-10 09.05.13.000000 AM						    ,CR_MassFilter											 ,27-APR-10 09.05.13.659395 AM						     ,CR_MassFilter											  ,ERICE2PODA,	       1,      9788,29-JAN-19	      , ,									    ,										,
43111094			,27-APR-10 09.11.50.000000 AM						    ,CR_MassFilter											 ,27-APR-10 09.11.50.215805 AM						     ,CR_MassFilter											  ,SCBEEALLAE,	       1,      1503,18-OCT-16	      , ,									    ,										,
43111466			,27-APR-10 09.12.51.000000 AM						    ,CR_MassFilter											 ,27-APR-10 09.12.51.349797 AM						     ,CR_MassFilter											  ,EMCCE2STCE,	      14,     36273,29-JAN-19	      , ,									    ,										,
43120077			,27-APR-10 09.33.55.000000 AM						    ,CR_MassFilter											 ,27-APR-10 09.33.55.663572 AM						     ,CR_MassFilter											  ,CNH_EFRACE,	       1,      2066,13-FEB-11	      , ,									    ,										,
43121532			,27-APR-10 09.37.27.000000 AM						    ,CR_MassFilter											 ,27-APR-10 09.37.27.721462 AM						     ,CR_MassFilter											  ,NIKEENICST,	       2,      3078,29-JAN-19	      , ,									    ,										,
43127445			,27-APR-10 09.52.24.000000 AM						    ,CR_MassFilter											 ,27-APR-10 09.52.24.804056 AM						     ,CR_MassFilter											  ,NOKIEFICXM,	       1,     13495,15-NOV-10	      , ,									    ,										,
43127624			,27-APR-10 09.52.53.000000 AM						    ,CR_MassFilter											 ,27-APR-10 09.52.53.227146 AM						     ,CR_MassFilter											  ,SCEBEALLAE,	       1,      1962,05-OCT-10	      , ,									    ,										,
43130104			,27-APR-10 09.57.06.000000 AM						    ,CR_MassFilter											 ,27-APR-10 09.57.06.036560 AM						     ,CR_MassFilter											  ,SILTESAGXM,	       1,      8080,29-JAN-19	      , ,									    ,										,
43130146			,27-APR-10 09.57.12.000000 AM						    ,CR_MassFilter											 ,27-APR-10 09.57.12.640538 AM						     ,CR_MassFilter											  ,SAG_ECARRT,	      13,    100442,29-JAN-19	      , ,									    ,										,
43130178			,27-APR-10 09.57.14.000000 AM						    ,CR_MassFilter											 ,27-APR-10 09.57.14.940221 AM						     ,CR_MassFilter											  ,ERICE2XMRT,	       1,      6356,30-AUG-12	      , ,									    ,										,
43139752			,27-APR-10 10.19.07.000000 AM						    ,CR_MassFilter											 ,27-APR-10 10.19.07.514261 AM						     ,CR_MassFilter											  ,SENLESDFXX,	       1,      2485,08-JUL-13	      , ,									    ,										,
43142863			,27-APR-10 10.26.27.000000 AM						    ,CR_MassFilter											 ,27-APR-10 10.26.27.494728 AM						     ,CR_MassFilter											  ,ABB_E2EMIM,	       1,	727,13-APR-18	      , ,									    ,										,
